term.id,-,term.name,term.units,term.synonyms,term.subClassOf.0.id,term.definition,term.agrovoc,term.defaultProperties.0.term.id,term.defaultProperties.0.value,term.defaultProperties.0.sd,term.defaultProperties.1.term.id,term.defaultProperties.1.value,term.defaultProperties.1.sd,term.defaultProperties.1.description,term.defaultProperties.2.term.id,term.defaultProperties.2.value,term.defaultProperties.2.sd,term.defaultProperties.2.description,term.defaultProperties.3.term.id,term.defaultProperties.3.value,term.defaultProperties.3.sd,term.defaultProperties.3.description,term.defaultProperties.4.term.id,term.defaultProperties.4.value,term.defaultProperties.4.sd,term.defaultProperties.4.description,term.defaultProperties.5.term.id,term.defaultProperties.5.value,term.defaultProperties.5.sd,term.defaultProperties.5.description,term.defaultProperties.6.term.id,term.defaultProperties.6.value,term.defaultProperties.6.sd,term.defaultProperties.6.description,term.defaultProperties.7.term.id,term.defaultProperties.7.value,term.defaultProperties.7.min,term.defaultProperties.7.max,term.defaultProperties.8.term.id,term.defaultProperties.8.value,term.defaultProperties.8.sd,term.defaultProperties.8.description,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.min,lookups.5.max,lookups.5.source,lookups.5.notes,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.min,lookups.6.max,lookups.6.source,lookups.6.notes,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState
chickenLayersSolidManureDryKgN,"chicken Layers, Solid Manure, Dry Kg N","Chicken (layers), solid manure, dry (kg N)",kg N,Chicken manure,poultrySolidManureDryKgN,"Dry manure from laying hens, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,36.00,23.00,Poore & Nemecek (2018),phosphateContentAsP2O5,114.57,-,Poore & Nemecek (2018),potassiumContentAsK2O,78.56,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1000.00,500.00,IPCC (2019),-,-,-,-,ligninContent,108.70,54.35,IPCC (2019),https://glossary.ecoinvent.org/ids/e0d21df5-c3c7-4421-9861-5fb9a614b576,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
pigsSolidManureDryKgN,"pigs, Solid Manure, Dry Kg N","Pigs, solid manure, dry (kg N)",kg N,-,manureDryKgN,"Dry manure from pigs, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,19.00,16.00,Poore & Nemecek (2018),phosphateContentAsP2O5,260.74,-,Poore & Nemecek (2018),potassiumContentAsK2O,116.31,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1100.00,550.00,IPCC (2019),-,-,-,-,ligninContent,172.41,86.21,IPCC (2019),-,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
fishCrustaceansSolidManureDryKgN,"fish/Crustaceans, Solid Manure, Dry Kg N","Fish/crustaceans, solid manure, dry (kg N)",kg N,-,manureDryKgN,"Dry manure from aquaculture systems, including fish and crustaceans, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,0.95,0.71,Poore & Nemecek (2018),phosphateContentAsP2O5,84.49,-,Poore & Nemecek (2018),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Solid,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,0.21,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,0.15,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,0.28,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,0.0325,complete,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
pigsLiquidManureKgN,"pigs, Liquid Manure Kg N","Pigs, liquid manure (kg N)",kg N,Pig slurry,slurryAndSludgeKgN,"Liquid manure (slurry) from pigs, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,72.32,11.61,Poore & Nemecek (2018),phosphateContentAsP2O5,43.69,-,Poore & Nemecek (2018),potassiumContentAsK2O,36.70,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1100.00,550.00,IPCC (2019),-,-,-,-,ligninContent,174.77,87.39,IPCC (2019),https://glossary.ecoinvent.org/ids/6c50f204-1e98-422e-b20c-70088087f505,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
cattleLiquidManureKgN,"cattle, Liquid Manure Kg N","Cattle, liquid manure (kg N)",kg N,-,slurryAndSludgeKgN,"Liquid manure (slurry) from cattle, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,57.51,12.31,Poore & Nemecek (2018),phosphateContentAsP2O5,40.74,-,Poore & Nemecek (2018),potassiumContentAsK2O,126.28,-,Poore & Nemecek (2018),-,-,-,-,carbonContent,1750.00,875.00,IPCC (2019),-,-,-,-,ligninContent,403.29,201.64,IPCC (2019),https://glossary.ecoinvent.org/ids/ad551fe0-84c5-471a-9acf-b7d2204fdb65,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
cattleUrineKgN,"cattle, Urine Kg N","Cattle, urine (kg N)",kg N,-,slurryAndSludgeKgN,"Urine from cattle, measured in kg of nitrogen (N).",-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
sewageSludgeActivatedKgN,"sewage Sludge, Activated Kg N","Sewage sludge, activated (kg N)",kg N,-,slurryAndSludgeKgN,Sewage sludge that has undergone treatment using aeration and a biological floc composed of bacteria and protozoa. ,-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,phosphateContentAsP2O5,33.33,-,-,potassiumContentAsK2O,33.33,-,-,-,-,-,-,carbonContent,833.00,416.50,Yin et al. (2019) https://doi.org/10.1016/j.jclepro.2019.05.349,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,661,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
sewageSludgeHeatDriedKgN,"sewage Sludge, Heat Dried Kg N","Sewage sludge, heat dried (kg N)",kg N,-,slurryAndSludgeKgN,Sewage sludge that has undergone treatment direct or indirect dryers to evaporate water from wastewater solids.,-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,665,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
sewageSludgeKgN,sewage Sludge Kg N,Sewage sludge (kg N),kg N,-,slurryAndSludgeKgN,"The residual, semi-solid material that is produced as a by-product during sewage treatment of industrial or municipal wastewater.",https://agrovoc.fao.org/browse/agrovoc/en/page/c_7008 ,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,27.95,-,-,phosphateContentAsP2O5,94.88,-,-,potassiumContentAsK2O,13.39,-,-,-,-,-,-,carbonContent,6562.00,3281.00,Yin et al. (2019) https://doi.org/10.1016/j.jclepro.2019.05.349,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/eec52dcb-5b55-414a-81e3-b1331ff3462c,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,667,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,TRUE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
concentratedSeaweedKgN,concentrated Seaweed Kg N,Concentrated seaweed (kg N),kg N,Sea weed,otherOrganicFertilisersKgN,-,-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,25.00,-,-,phosphateContentAsP2O5,33.33,-,-,potassiumContentAsK2O,33.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
seaweedKgN,seaweed Kg N,Seaweed (kg N),kg N,Sea weed,otherOrganicFertilisersKgN,-,http://aims.fao.org/aos/agrovoc/c_afec13cd ,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,10.00,-,-,phosphateContentAsP2O5,200.00,-,-,potassiumContentAsK2O,200.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
seamacGoldKgN,seamac Gold Kg N,Seamac Gold (kg N),kg N,Seamac seaweed; Seamac sea weed; Ascophyllum nodosum extract,seaweedKgN,"A solution of the seaweed Ascophyllum nodosum formulated with soluble forms of nitrogen, phosphorus, potassium, and essential micronutrients in a readily available form.",-,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,phosphateContentAsP2O5,110.00,-,-,potassiumContentAsK2O,77.50,-,-,-,-,-,-,-,-,-,-,density,1110.00,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,FALSE,complete
bloodMealKgN,blood Meal Kg N,Blood meal (kg N),kg N,Dried blood,otherOrganicFertilisersKgN,-,http://aims.fao.org/aos/agrovoc/c_966,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,0.00,-,-,phosphateContentAsP2O5,7.69,-,-,potassiumContentAsK2O,3.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,601,complete,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
vinasseKgN,vinasse Kg N,Vinasse (kg N),kg N,Stillage; Distillery wastewater; Distillery pot ale; Distillery slops; Distillery spent wash; Dunder; Mosto; Thin stillage,wastewaterKgMass,"The aqueous by-product from the distillation of bio-ethanol following fermentation of carbohydrates; it can be obtained from sugar crops (sugar beets, sugar cane, molasses, etc.), starch crops (corn, wheat, rice, cassava, etc.), dairy products (whey) or cellulosic materials (crop residues, herbaceous energy crops, bagasse, wood, or municipal solid waste). Employed as field fertiliser for crop production, or as an additive in animal feeds.",http://aims.fao.org/aos/agrovoc/c_27624,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,5.00,-,-,phosphateContentAsP2O5,107.58,-,-,potassiumContentAsK2O,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/16f96475-57f7-4c90-b96a-e0a81f9bfdbe,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
filterCakeKgN,filter Cake Kg N,Filter cake (kg N),kg N,-,otherOrganicFertilisersKgN,-,http://aims.fao.org/aos/agrovoc/c_25239,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,20.00,-,-,phosphateContentAsP2O5,126.02,-,-,potassiumContentAsK2O,18.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
palmEmptyFruitBunchesKgN,palm Empty Fruit Bunches Kg N,Palm empty fruit bunches (kg N),kg N,EFB,otherOrganicFertilisersKgN,-,-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,0.00,-,-,phosphateContentAsP2O5,17.52,-,-,potassiumContentAsK2O,293.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
palmOilMillEffluentKgN,palm Oil Mill Effluent Kg N,Palm oil mill effluent (kg N),kg N,POME,otherOrganicFertilisersKgN,-,-,-,-,-,nitrogenContent,100.00,-,-,totalAmmoniacalNitrogenContentAsN,0.00,-,-,phosphateContentAsP2O5,147.30,-,-,potassiumContentAsK2O,294.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OrganicFertiliserClassification,Other Organic Fertilisers,complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
wastewaterKgN,wastewater Kg N,Wastewater (kg N),kg N,Waste water; drainwater; drain water,otherOrganicFertilisersKgN,-,http://aims.fao.org/aos/agrovoc/c_8308 ,-,-,-,nitrogenContent,100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/e8a51ec1-60cb-4ead-a948-ad1142c61918,OrganicFertiliserClassification,"Liquid, Slurry, Sewage Sludge",complete,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_min,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_max,-,not required,IPCC_2019_CH4_rice_CFOA_kg_fresh_weight_sd,-,not required,IPCC_2019_FRACGASM_NH3-N,0.20,0,0.30,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,IPCC_2019_FRACGASM_NOx-N,0.02,0,0.15,"Calculated from IPCC (2019) Chapter 11, Table 8A.1",-,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,beefCattleSolidManureFreshKgN;cattleLiquidManureKgN;mushroomCompostKgN,complete,skipAggregation,TRUE,complete,ANIMAL_MANURE,FALSE,complete,PRACTICE_INCREASING_C_INPUT,TRUE,complete
